Country Name,Year,CO2,CO2_ton,Renewables,Electricity,Energy consumption,Country Code,PBI per capita,Poblacion,CO2_per_capita_ton,Energy_use_per_capita
Rusia,1992,2045.96923715,2045969237.15,17.046557,1008.45,799.8767699609999,RUS,3095.6597791412,148689000.0,13.760057819677314,5.379528882170167e-06
Ucrania,1992,540.175777565,540175777.5649999,3.203656,252.524,212.06946650499998,UKR,1417.86880493451,52150266.0,10.358063707000074,4.066507858368354e-06
Uzbekistán,1992,112.14485740900001,112144857.40900001,12.337216,50.911,45.271843879,UZB,603.3520152964379,21449000.0,5.228442230826612,2.110673871928761e-06
Canadá,1992,435.090554143,435090554.143,61.687388,520.39,215.372138134,CAN,20879.848330089073,28371264.0,15.335606976939765,7.591207009106116e-06
Estados Unidos,1992,4882.727938362,4882727938.3619995,10.477562,3291.109,1963.7973160000001,USA,25418.990776331895,256514000.0,19.034937423930074,7.655712031312131e-06
Argentina,1992,108.945323118,108945323.118,35.132871,56.107,49.944085742000006,ARG,6823.537616046798,33529326.0,3.2492547902096214,1.4895642621029724e-06
Brasil,1992,202.318208778,202318208.77800003,94.41944,241.732,144.72855745200002,BRA,2596.919876120337,154259380.0,1.3115455849621593,9.382156044708595e-07
Chile,1992,30.609503026,30609503.026,82.69463,22.363,15.491891393,CHL,3350.2138445764886,13719819.0,2.231042772940372,1.129161499360888e-06
Colombia,1992,49.566182498,49566182.498,68.665007,32.944,25.047025312000002,COL,1697.1128867028244,34422569.0,1.439932693518604,7.27633818149947e-07
México,1992,284.76461193700004,284764611.93700004,25.655558,132.864,130.685558576,MEX,4170.623286778708,87075138.0,3.2703320198814962,1.500836651858077e-06
Venezuela,1992,95.039729488,95039729.488,70.093416,67.44,46.176717089,VEN,2938.161768795347,20557683.0,4.623075931660198,2.2462024095322416e-06
China,1992,2467.3516661040003,2467351666.104,17.584684,754.071,876.9248121820001,CHN,366.460692302073,1164970000.0,2.117952965401684,7.527445446509353e-07
India,1992,592.938923463,592938923.463,20.752652,337.181,330.09077173400004,IND,316.9539354777623,909307016.0,0.652077805438378,3.63013554196529e-07
Indonesia,1992,168.320614748,168320614.748,23.838316,41.513,107.892572485,IDN,681.9383856119008,187739786.0,0.8965633674899363,5.746921032763934e-07
Japón,1992,1068.2723981230001,1068272398.1230001,11.29633,903.4350000000001,454.609098507,JPN,31464.54904622799,124229000.0,8.599219168817266,3.6594442401291162e-06
Malasia,1992,63.788219235,63788219.235,14.874314,29.319,29.658201875,MYS,3113.6256688506337,19002656.0,3.35680545051176,1.5607398184232771e-06
Corea,1992,290.3847226,290384722.59999996,3.855909,126.17,111.41578019,KOR,8001.540991862494,43747962.0,6.637674289833203,2.546765039934889e-06
Tailandia,1992,98.36932754200001,98369327.54200001,7.424078,57.098,48.531392494,THA,1927.8827367270858,57811021.0,1.7015670341127518,8.394834004747988e-07
Australia,1992,275.580670099,275580670.099,10.303049,159.54500000000002,87.416610367,AUS,18569.505043321395,17495000.0,15.751967424921405,4.996662495970277e-06
Nueva Zelanda,1992,23.719541221,23719541.221,72.587706,32.894,14.252805779000001,NZL,11793.139241621373,3531700.0,6.716182354390237,4.035678505818728e-06
Argelia,1992,57.252658747000005,57252658.74700001,1.022926,19.454,24.020497506,DZA,1776.0366743807142,27028326.0,2.1182465664725227,8.887156942683022e-07
Egipto,1992,80.056355363,80056355.36299999,21.235606,45.678000000000004,33.102034296999996,EGY,713.452523933266,58666814.0,1.3645935394241793,5.642378039652877e-07
Nigeria,1992,40.143755982,40143755.982,40.845355,14.834,72.366361328,NGA,477.1776142275906,100161710.0,0.4007894432113829,7.224952661850521e-07
Sudáfrica,1992,246.783572859,246783572.859,1.240407,168.09,88.471679379,ZAF,3479.0662831906325,38672607.0,6.381353417911546,2.287709214405949e-06
Iran,1992,218.152525745,218152525.745,13.876755,68.676,80.90315666,IRN,,58780370.0,3.71131596730337,1.3763635148945132e-06
Kuwait,1992,22.49939064,22499390.64,0.0,16.885,8.824955216000001,KWT,,,,
Arabia Saudita,1992,176.780005419,176780005.419,0.0,82.19,76.92470428200001,SAU,7932.090937818438,17282691.0,10.228731475844821,4.4509679818958754e-06
Emiratos Árabes Unidos,1992,56.910293508,56910293.508,0.0,18.689,22.354397647000003,ARE,26420.872753482286,2052891.0,27.722023969124518,1.088922775101065e-05
Bélgica,1993,108.158972142,108158972.14199999,1.79716,70.834,49.380128853,BEL,22403.216818000834,10084475.0,10.725295282302746,4.896648447539411e-06
República Checa,1993,132.7214784,132721478.39999999,2.983985,58.881,42.716764402,CZE,3931.7444627475675,10329855.0,12.848338955387078,4.13527241205225e-06
Francia,1993,362.70819456600003,362708194.56600004,14.79225,472.707,237.619552136,FRA,22380.103961935467,59106768.0,6.136491756172492,4.020175018468274e-06
Alemania,1993,889.6181265350001,889618126.5350001,4.619059,526.2760000000001,334.935124739,DEU,25488.519518931353,81156363.0,10.961779134126552,4.127034681667536e-06
Italia,1993,393.193390941,393193390.94100004,21.669464,222.802,153.254072918,ITA,18676.952578918328,56831821.0,6.918542887108967,2.6966243597578896e-06
